epoch,batches,loss,accuracy
0,400,405.133925139904,0.1922
0,800,390.61601477861404,0.1135
0,1200,361.76559978723526,0.2345
0,1600,369.5142176747322,0.2494
0,2000,360.98607605695724,0.2098
0,2400,359.0720266699791,0.2071
0,2800,353.47041177749634,0.2075
0,3200,346.963576823473,0.2129
0,3600,343.66500809788704,0.2962
0,4000,339.81387770175934,0.3108
0,4400,344.79472717642784,0.302
0,4800,342.15831792354584,0.3033
0,5200,336.1457493901253,0.3053
0,5600,336.6490506827831,0.3021
0,6000,334.79009759426117,0.2964
0,6400,328.19617307186127,0.299
0,6800,333.07246536016464,0.2979
0,7200,333.2931314110756,0.2979
1,400,330.79770734906197,0.3255
1,800,350.4882084131241,0.2955
1,1200,342.24764147400856,0.2939
1,1600,318.72969949245453,0.2928
1,2000,326.0846994817257,0.3169
1,2400,315.6537878513336,0.329
1,2800,324.4392828345299,0.3536
1,3200,318.00323337316513,0.3471
1,3600,316.0052176117897,0.3724
1,4000,305.08251544833183,0.3778
1,4400,307.117667555809,0.3835
1,4800,314.2431884109974,0.4013
1,5200,310.68361979722977,0.3756
1,5600,295.76746851205826,0.3765
1,6000,309.34972882270813,0.3746
1,6400,308.1774594783783,0.3739
1,6800,299.5222050845623,0.3781
1,7200,306.2940531373024,0.3776
2,400,307.6171873509884,0.3707
2,800,308.0376619696617,0.3721
2,1200,310.73881191015244,0.3212
2,1600,327.7972279191017,0.326
2,2000,323.0449147224426,0.3412
2,2400,308.3159365952015,0.4135
2,2800,307.50077706575394,0.3483
2,3200,318.0302479863167,0.4261
2,3600,318.2488155066967,0.4214
2,4000,316.20056051015854,0.4431
2,4400,302.29229336977005,0.4494
2,4800,308.10326144099236,0.3622
2,5200,304.75058421492577,0.372
2,5600,306.168379843235,0.3711
2,6000,295.7861583828926,0.4491
2,6400,300.4942207932472,0.3661
2,6800,301.47063833475113,0.3672
2,7200,301.958529651165,0.3677
3,400,306.5362674295902,0.45
3,800,315.13300600647926,0.4545
3,1200,298.2561009526253,0.4606
3,1600,317.7706613689661,0.4512
3,2000,315.5253925919533,0.3692
3,2400,306.3643637895584,0.3657
3,2800,304.7558409422636,0.4692
3,3200,306.358459725976,0.4414
3,3600,308.7271210849285,0.4095
3,4000,290.935844540596,0.4094
3,4400,288.1050219684839,0.4061
3,4800,300.4110511690378,0.4862
3,5200,296.20997680723667,0.4729
3,5600,283.33774940669537,0.4714
3,6000,287.70740850269794,0.46
3,6400,288.42785772681236,0.4173
3,6800,290.9021408855915,0.4576
3,7200,291.23241360485554,0.4575
4,400,310.21913343667984,0.5161
4,800,299.06314116716385,0.4116
4,1200,296.98073510825634,0.4952
4,1600,301.74304538965225,0.5163
4,2000,304.3081596493721,0.5022
4,2400,300.08986343443394,0.5146
4,2800,308.5152664780617,0.5041
4,3200,293.26626631617546,0.4655
4,3600,289.80498564243317,0.4075
4,4000,295.2802188247442,0.4178
4,4400,297.13360556960106,0.5151
4,4800,297.0819806009531,0.5217
4,5200,290.551459223032,0.4182
4,5600,286.7322696596384,0.4943
4,6000,284.20493561029434,0.4206
4,6400,281.6041826605797,0.4209
4,6800,291.6612932384014,0.4204
4,7200,287.1730794608593,0.4208
5,400,292.99760779738426,0.4496
5,800,295.2367620766163,0.428
5,1200,299.3570904433727,0.5165
5,1600,292.35575427114964,0.4785
5,2000,289.69290471076965,0.5347
5,2400,290.9523578286171,0.5329
5,2800,293.79145070910454,0.564
5,3200,285.6234129667282,0.564
5,3600,294.1091143786907,0.5739
5,4000,295.61435252428055,0.5689
5,4400,290.4515368975699,0.5732
5,4800,282.4094738662243,0.5674
5,5200,280.13305619359016,0.5774
5,5600,281.7590399980545,0.5639
5,6000,283.7583211362362,0.5816
5,6400,288.3281361758709,0.5818
5,6800,280.9067781865597,0.5829
5,7200,271.4638600945473,0.5845
6,400,295.49784748256207,0.5472
6,800,303.3211658298969,0.4949
6,1200,295.26680195331573,0.5391
6,1600,306.1413209885359,0.5572
6,2000,295.5195400118828,0.5413
6,2400,287.25215768814087,0.5856
6,2800,288.662644341588,0.55
6,3200,283.6978115141392,0.5545
6,3600,292.2469784319401,0.5966
6,4000,281.86194720864296,0.5657
6,4400,291.89349526166916,0.59
6,4800,278.9862295240164,0.5182
6,5200,281.6362771987915,0.5876
6,5600,273.2124095708132,0.5907
6,6000,277.3154760301113,0.5206
6,6400,284.63304759562016,0.524
6,6800,276.0165218412876,0.524
6,7200,277.4173913747072,0.5232
7,400,281.747504144907,0.6197
7,800,287.85905772447586,0.5354
7,1200,301.0364014804363,0.5504
7,1600,307.10032030940056,0.5448
7,2000,290.400085285306,0.5253
7,2400,285.11851738393307,0.5848
7,2800,288.80712753534317,0.5594
7,3200,284.594247341156,0.539
7,3600,271.6805250942707,0.576
7,4000,277.0970504581928,0.5923
7,4400,264.1174945682287,0.6552
7,4800,269.4746163934469,0.5878
7,5200,266.86542899906635,0.6169
7,5600,255.7979920208454,0.6595
7,6000,262.5608959943056,0.6218
7,6400,258.34134355187416,0.656
7,6800,251.46766774356365,0.664
7,7200,253.37332855910063,0.6608
8,400,267.7658648043871,0.6384
8,800,277.55487444996834,0.5934
8,1200,269.1090589463711,0.5756
8,1600,260.01659686118364,0.647
8,2000,259.0002837628126,0.6582
8,2400,260.286366045475,0.6905
8,2800,257.98244854807854,0.6699
8,3200,265.45917066186666,0.6624
8,3600,241.6012250483036,0.6586
8,4000,251.16400321945548,0.6582
8,4400,242.546739295125,0.6963
8,4800,245.52351133525372,0.7299
8,5200,239.16758950054646,0.7294
8,5600,244.56184724718332,0.7291
8,6000,231.60578083246946,0.7228
8,6400,237.61176992952824,0.7206
8,6800,236.9135536402464,0.734
8,7200,237.81482649967074,0.734
9,400,250.96557049453259,0.695
9,800,260.61231111735106,0.7245
9,1200,228.96493034809828,0.7325
9,1600,247.56077229976654,0.7009
9,2000,249.58400116860867,0.7085
9,2400,240.6134136468172,0.7031
9,2800,258.8978219330311,0.7134
9,3200,259.2752803713083,0.6875
9,3600,251.5329988002777,0.6965
9,4000,257.56260222848505,0.7055
9,4400,238.88204444944859,0.7221
9,4800,239.4843879044056,0.7369
9,5200,232.73904486000538,0.7318
9,5600,238.1949948295951,0.7263
9,6000,235.13308817893267,0.7429
9,6400,225.14471063762903,0.7429
9,6800,231.02067405730486,0.7422
9,7200,229.0527814924717,0.7422
10,400,242.76180656254292,0.7187
10,800,251.84975814446807,0.7099
10,1200,253.86462926864624,0.7042
10,1600,243.4045265763998,0.7265
10,2000,247.36741083487868,0.734
10,2400,239.12216991186142,0.7298
10,2800,249.67012426629663,0.7403
10,3200,243.2290027886629,0.7528
10,3600,240.40145906805992,0.7635
10,4000,235.54140942916274,0.7379
10,4400,234.95800887793303,0.7415
10,4800,233.00124249607325,0.7418
10,5200,232.22472776472569,0.7691
10,5600,224.8284309860319,0.7616
10,6000,228.1830247202888,0.7648
10,6400,221.52103508263826,0.7624
10,6800,221.42340606078506,0.7615
10,7200,220.7729171300307,0.7623
11,400,227.54318385198712,0.7741
11,800,234.3208768069744,0.7593
11,1200,230.83054726198316,0.7673
11,1600,246.9388974290341,0.7791
11,2000,236.196720354259,0.7365
11,2400,240.6842474937439,0.7309
11,2800,239.63902832567692,0.7526
11,3200,243.44223158061504,0.7209
11,3600,232.1090881228447,0.7727
11,4000,229.21562099456787,0.7664
11,4400,232.24058643355966,0.7629
11,4800,216.6562914662063,0.7772
11,5200,223.3544306010008,0.775
11,5600,219.6831991970539,0.7798
11,6000,207.0988258868456,0.7746
11,6400,221.29042924195528,0.7776
11,6800,208.1887955442071,0.7782
11,7200,207.8044467717409,0.7784
12,400,222.4213291630149,0.7666
12,800,227.2236352711916,0.7908
12,1200,217.27281945198774,0.7661
12,1600,223.06479970365763,0.7611
12,2000,220.8948276862502,0.7723
12,2400,228.68217623978853,0.7655
12,2800,207.48956958018243,0.7862
12,3200,213.5020674020052,0.7815
12,3600,206.17966909706593,0.7817
12,4000,206.8072436079383,0.7772
12,4400,210.58843660354614,0.7882
12,4800,206.03888566419482,0.7981
12,5200,193.60469246655703,0.7997
12,5600,202.00283942185342,0.7948
12,6000,188.25606575608253,0.8
12,6400,198.21718737110496,0.8014
12,6800,188.91992213204503,0.8015
12,7200,195.0824043173343,0.801
13,400,207.6050321161747,0.7679
13,800,212.33989081159234,0.7869
13,1200,210.72924534976482,0.8025
13,1600,204.72860681638122,0.787
13,2000,202.9226422123611,0.8133
13,2400,210.7074252180755,0.7959
13,2800,216.70460699498653,0.8046
13,3200,215.12704829871655,0.8115
13,3600,200.80244932323694,0.807
13,4000,193.57435573264956,0.8061
13,4400,191.5730457548052,0.8201
13,4800,191.63256341591477,0.8045
13,5200,188.221435142681,0.8016
13,5600,190.78904647007585,0.8122
13,6000,191.5482365163043,0.8105
13,6400,181.39831976778805,0.8127
13,6800,174.90649466682225,0.8149
13,7200,172.83487922511995,0.8143
14,400,193.46790213137865,0.8156
14,800,214.9739897698164,0.8075
14,1200,207.62087891623378,0.8253
14,1600,204.8670866098255,0.8281
14,2000,211.25007486715913,0.8131
14,2400,205.44358305074275,0.8286
14,2800,196.38337689638138,0.8189
14,3200,183.70265128090978,0.8151
14,3600,204.31311554275453,0.8273
14,4000,184.83304338902235,0.8232
14,4400,191.0865731574595,0.8274
14,4800,181.16781905665994,0.8368
14,5200,186.75198927987367,0.8378
14,5600,175.72451807372272,0.8374
14,6000,174.2838818905875,0.836
14,6400,177.1218907739967,0.833
14,6800,180.2222241703421,0.8331
14,7200,174.77102580666542,0.8326
15,400,185.27771574631333,0.8172
15,800,192.66378880478442,0.8324
15,1200,195.89022564515471,0.842
15,1600,187.61132863909006,0.838
15,2000,206.0514644002542,0.8445
15,2400,196.2980028167367,0.8195
15,2800,186.41447779908776,0.8476
15,3200,191.77219275012612,0.8468
15,3600,185.3089803494513,0.8438
15,4000,192.8553120791912,0.8456
15,4400,164.87663592305034,0.8427
15,4800,200.3927558194846,0.8536
15,5200,181.24957265891135,0.8592
15,5600,180.31836183648556,0.8588
15,6000,171.4085716251284,0.8588
15,6400,179.4943793900311,0.8581
15,6800,166.13742914423347,0.8587
15,7200,170.66088761761785,0.8582
16,400,167.84575290605426,0.8612
16,800,179.09398638643324,0.8562
16,1200,185.21440564468503,0.857
16,1600,185.95772774890065,0.8493
16,2000,195.30573493056,0.8589
16,2400,187.623645151034,0.8283
16,2800,196.84625025093555,0.8443
16,3200,189.94307531788945,0.8277
16,3600,176.1897724661976,0.8469
16,4000,179.05092046316713,0.8597
16,4400,175.54521488584578,0.8605
16,4800,165.29243928566575,0.8582
16,5200,164.88179988972843,0.8656
16,5600,156.63677372783422,0.8692
16,6000,163.9120621001348,0.8617
16,6400,163.42832623329014,0.864
16,6800,161.41266976855695,0.8676
16,7200,160.80990240816027,0.8681
17,400,174.22380533069372,0.8668
17,800,162.18517768196762,0.8638
17,1200,188.41773634403944,0.8564
17,1600,189.26901189610362,0.8627
17,2000,190.6265355143696,0.8557
17,2400,177.18950893729925,0.871
17,2800,164.72419869806617,0.8711
17,3200,157.17813766840845,0.874
17,3600,163.94193043280393,0.8652
17,4000,172.68342858925462,0.8772
17,4400,163.1364518199116,0.881
17,4800,157.61523014120758,0.8699
17,5200,166.11625726055354,0.8735
17,5600,165.0382162630558,0.8757
17,6000,154.0112956855446,0.8749
17,6400,155.31923120096326,0.8749
17,6800,147.41555102914572,0.8741
17,7200,145.2571549527347,0.8752
18,400,156.48774595744908,0.872
18,800,170.2923034541309,0.8655
18,1200,184.71016512718052,0.8338
18,1600,192.27088006027043,0.8655
18,2000,176.82455916330218,0.8758
18,2400,180.55772336758673,0.8733
18,2800,172.58788922335953,0.8702
18,3200,160.4598086187616,0.8811
18,3600,158.81077276775613,0.886
18,4000,151.70138731226325,0.8863
18,4400,169.70213233307004,0.8837
18,4800,160.795321976766,0.8894
18,5200,165.44654168747365,0.885
18,5600,151.71808833815157,0.885
18,6000,162.72401585243642,0.8859
18,6400,151.099258556962,0.8874
18,6800,152.01365525182337,0.8872
18,7200,148.37302207760513,0.8872
19,400,167.67978392075747,0.8765
19,800,178.51824331469834,0.8796
19,1200,163.9002906344831,0.8856
19,1600,149.27599376440048,0.8782
19,2000,168.5109181702137,0.882
19,2400,168.75508180819452,0.8835
19,2800,155.96009725145996,0.8909
19,3200,165.88637743517756,0.8896
19,3600,155.7965546604246,0.8865
19,4000,162.06279231794178,0.8886
19,4400,157.81165583990514,0.8894
19,4800,151.53321831393987,0.8874
19,5200,152.26309689506888,0.8843
19,5600,136.09201185405254,0.8873
19,6000,144.1169057385996,0.8912
19,6400,147.2545469077304,0.89
19,6800,158.653343828395,0.8891
19,7200,147.18638680316508,0.8891
